__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688316868.558720,1688316868.511009455,0.999762280,-0.002317227,0.008167770,-0.020082357,6.361016049,2.891972988,7.417604440
1688316868.593585,1688316868.544200182,0.999771010,-0.002683307,0.007801451,-0.019744971,6.364033090,2.893331114,7.421138167
1688316868.625729,1688316868.577389479,0.999766485,-0.002027365,0.007160611,-0.020287726,6.359202005,2.891135070,7.415470057
1688316868.659072,1688316868.610577583,0.999761254,-0.003039153,0.008715895,-0.019804832,6.366210803,2.894302197,7.423711319
1688316868.694023,1688316868.643764496,0.999764391,-0.002633680,0.008021223,-0.019997144,6.363606430,2.893172589,7.420642945
1688316868.725421,1688316868.676949739,0.999760357,-0.002571795,0.008192151,-0.020137085,6.363060324,2.892942264,7.420066913
1688316868.758764,1688316868.710134029,0.999762378,-0.002142506,0.008491866,-0.019962105,6.363292405,2.892976316,7.420289599
1688316868.793374,1688316868.743316889,0.999764306,-0.002599202,0.008208678,-0.019929743,6.365809789,2.894158111,7.423271690
1688316868.827539,1688316868.776498318,0.999764393,-0.002972519,0.008099261,-0.019917928,6.368610310,2.895394349,7.426464782
1688316868.859536,1688316868.809678793,0.999765979,-0.002234805,0.007911191,-0.020010162,6.360782831,2.891840959,7.417313757
1688316868.892427,1688316868.842857599,0.999756253,-0.002329267,0.008248621,-0.020346228,6.363263865,2.892932611,7.420245351
1688316868.927321,1688316868.876035452,0.999764126,-0.002202974,0.007993277,-0.020073518,6.362008192,2.892361740,7.418751745
1688316868.960423,1688316868.909211636,0.999754874,-0.002241097,0.008311192,-0.020398382,6.362081026,2.892454545,7.418883539
1688316868.993323,1688316868.942386627,0.999767527,-0.001331624,0.007496525,-0.020172257,6.359957052,2.891449317,7.416303674
1688316869.024255,1688316868.975560665,0.999764080,-0.002083510,0.007704445,-0.020201111,6.361619347,2.892249080,7.418280235
1688316869.060422,1688316869.008733273,0.999775517,-0.002896341,0.007943934,-0.019427304,6.359995485,2.891505324,7.416456384
1688316869.091137,1688316869.041908979,0.999762278,-0.002230280,0.008165300,-0.020093332,6.363541119,2.893131506,7.420588420
1688316869.125973,1688316869.075118542,0.999766505,-0.002840151,0.008168982,-0.019802446,6.364168548,2.893362575,7.421310926
1688316869.160707,1688316869.108327150,0.999765011,-0.003024156,0.008518154,-0.019703279,6.367441230,2.894859512,7.425106236
1688316869.192389,1688316869.141534328,0.999763610,-0.002165555,0.008243967,-0.020001811,6.361707855,2.892272539,7.418440196
1688316869.225255,1688316869.174740553,0.999764778,-0.002232598,0.008206083,-0.019951544,6.362549165,2.892650483,7.419427274
1688316869.261391,1688316869.207945108,0.999773888,-0.002247531,0.007669620,-0.019705312,6.361180282,2.892021829,7.417741061
1688316869.294312,1688316869.241148710,0.999762887,-0.002934834,0.008496576,-0.019833441,6.367116368,2.894685522,7.424709841
1688316869.326552,1688316869.274350643,0.999775112,-0.002876465,0.007748013,-0.019529988,6.360422329,2.891664550,7.416926665
1688316869.360449,1688316869.307551622,0.999772099,-0.002597764,0.007880850,-0.019669600,6.365349961,2.893918847,7.422668427
1688316869.392227,1688316869.340750933,0.999762265,-0.002934900,0.008206992,-0.019986146,6.363223174,2.892941127,7.420213146
1688316869.425883,1688316869.373949289,0.999769050,-0.002274864,0.007628868,-0.019961785,6.362304194,2.892508110,7.419075007
1688316869.459889,1688316869.407146215,0.999752561,-0.002012013,0.008277546,-0.020548754,6.366673176,2.894577004,7.424213429
1688316869.494037,1688316869.440341711,0.999757510,-0.002430877,0.008242114,-0.020275112,6.363941384,2.893295261,7.421050559
1688316869.527695,1688316869.473536491,0.999770331,-0.001973785,0.007801055,-0.019862871,6.362545217,2.892630333,7.419368426
1688316869.561345,1688316869.506729364,0.999759530,-0.001739877,0.007805090,-0.020418988,6.361117725,2.892052818,7.417729922
1688316869.592376,1688316869.539921045,0.999762808,-0.001647310,0.007866182,-0.020241944,6.362557965,2.892670545,7.419408224
1688316869.626858,1688316869.573111534,0.999771381,-0.002286201,0.007787988,-0.019781485,6.362263520,2.892502926,7.419071554
1688316869.660022,1688316869.606300831,0.999762964,-0.003374077,0.008788279,-0.019631553,6.371064214,2.896519905,7.429305286
1688316869.692652,1688316869.639488697,0.999769527,-0.002182675,0.007907313,-0.019839446,6.360713891,2.891831364,7.417300089
1688316869.726285,1688316869.672675610,0.999752223,-0.002245756,0.008640348,-0.020391031,6.365081795,2.893831616,7.422353707
1688316869.761528,1688316869.705860853,0.999768513,-0.002833640,0.008173572,-0.019699815,6.364816967,2.893657736,7.422030604
1688316869.793582,1688316869.739044905,0.999767081,-0.003415030,0.008383224,-0.019591912,6.367334428,2.894852225,7.424996985
1688316869.825569,1688316869.772227526,0.999768671,-0.002634568,0.008125790,-0.019739179,6.363284367,2.892994855,7.420289527
1688316869.859782,1688316869.805409193,0.999759325,-0.002605471,0.008471206,-0.020068444,6.365489448,2.893935477,7.422841622
1688316869.896366,1688316869.838589430,0.999769867,-0.002248434,0.007959315,-0.019794137,6.360254699,2.891571574,7.416733446
1688316869.928998,1688316869.871768236,0.999766937,-0.003633665,0.008335603,-0.019580264,6.369670477,2.895902670,7.427723580
1688316869.961314,1688316869.904945850,0.999771455,-0.003033535,0.008476053,-0.019390493,6.368993066,2.895559752,7.426930762
1688316869.992213,1688316869.938122034,0.999766859,-0.003047935,0.008227904,-0.019729134,6.366775466,2.894528370,7.424351177
1688316870.027971,1688316869.971297026,0.999768700,-0.002579069,0.007929182,-0.019824792,6.363280184,2.892939103,7.420223497
1688316870.058760,1688316870.004471064,0.999768714,-0.002988376,0.008411020,-0.019566380,6.367379755,2.894784021,7.425003058
1688316870.094707,1688316870.037647486,0.999769260,-0.003171597,0.008247896,-0.019579067,6.364548636,2.893515920,7.421703343
1688316870.130432,1688316870.070984125,0.999771771,-0.003160806,0.008156814,-0.019490527,6.364229248,2.893381582,7.421330674
1688316870.163637,1688316870.104321003,0.999757992,-0.001824634,0.008132877,-0.020358893,6.359380714,2.891193660,7.415740776
1688316870.195067,1688316870.138125420,0.999764874,-0.003486730,0.008865421,-0.019479338,6.367826529,2.895028867,7.425536898
1688316870.227869,1688316870.171933889,0.999765496,-0.002505513,0.007687030,-0.020089422,6.361951276,2.892370288,7.418699047
1688316870.261162,1688316870.205745935,0.999768136,-0.002846754,0.008067975,-0.019760538,6.364642735,2.893595270,7.421852829
1688316870.294145,1688316870.239562035,0.999771878,-0.002745791,0.008059677,-0.019588092,6.361817694,2.892298247,7.418563187
