,Y,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,184.0,-0.016020136945652175,5.298844302625577e-05,-0.016160542,-0.01605744025,-0.0160188865,-0.01598387125,-0.015907861,-inf
1,0,183.0,-0.0156966304863388,8.999133778826454e-05,-0.015845416,-0.015756305499999998,-0.015728438,-0.015657079,-0.01539377,-inf
2,0,213.0,-0.036222705929577464,0.004472720313106638,-0.039364198,-0.038406366,-0.03792534,-0.036988414,-0.015241173,-inf
3,0,176.0,-0.047755250267045454,0.00021174939906945883,-0.04798298,-0.047864792,-0.047814508,-0.04775109875,-0.046850403,-inf
4,0,232.0,-0.016396888021551724,5.6156174547767776e-05,-0.016708809,-0.01643085675,-0.016394909,-0.01636587725,-0.016236602,-inf
5,0,186.0,0.015935342489247314,7.057897216488233e-05,0.01573842,0.0158885085,0.015933288,0.015984320500000003,0.016130082,inf
6,0,185.0,-0.01540460591891892,0.00017372468769563093,-0.015817424,-0.015535801,-0.015400413,-0.015279683,-0.015002301,-inf
7,0,172.0,-0.015192665087209302,0.00019891640147770695,-0.016183329,-0.015296530000000001,-0.01517421,-0.01506366225,-0.014718649,-inf
8,0,174.0,-0.01847047422413793,0.00040873867276741276,-0.019562612,-0.018728789,-0.018498550000000002,-0.0181831675,-0.017441758,-inf
9,0,207.0,-0.047826264236714974,0.00045966220833714995,-0.049072365,-0.048077684999999995,-0.047789951,-0.0475417355,-0.046591269,-inf
10,0,186.0,-0.02435233915053764,0.0011126334698521336,-0.028281108,-0.02505655875,-0.0242553555,-0.023694571749999997,-0.021767789,-inf
11,0,206.0,0.012376990587378641,0.00014763516277208863,0.011968846,0.012288815750000001,0.0123632735,0.012453176,0.012776038,inf
12,0,193.0,-0.07085463932642486,0.0034840623141381304,-0.080616716,-0.073084799,-0.070896814,-0.068474689,-0.062031532,-inf
13,0,194.0,-0.02924427454123711,0.0018162430212881186,-0.033963128,-0.0305007665,-0.029247248000000003,-0.02822719525,-0.023907019,-inf
14,0,198.0,-0.023475780797979795,0.0002535146791370653,-0.024026255,-0.02365508375,-0.023497437500000003,-0.02332388825,-0.022811852,-inf
15,0,215.0,-0.02012523186046512,8.428342083834791e-05,-0.020428164,-0.020178421,-0.020110304,-0.0200585345,-0.019934737,-inf
16,0,239.0,0.006545928317991631,0.0001556204257005956,0.006122625,0.006448926,0.006555528,0.0066434365,0.006915365,inf
17,0,249.0,0.00019338902409638553,4.4772472799298604e-05,3.3985e-05,0.000164559,0.000195272,0.000221847,0.000299753,inf
18,0,196.0,-0.055825547285714296,0.00022295647005518088,-0.056304045,-0.055977595000000005,-0.055831080500000005,-0.055683047,-0.054802745,-inf
19,0,198.0,-0.000999466888888889,0.000387175204265784,-0.002006777,-0.0012535850000000002,-0.0010844545,-0.000639219,3.0511e-05,-inf
20,0,206.0,-0.05723572232524272,0.0014113566767308115,-0.059342371,-0.0584368575,-0.0573052765,-0.0564344945,-0.053082667,-inf
21,0,172.0,-0.09036741018604652,0.0015767194391270924,-0.092301778,-0.09172873225,-0.09062943949999999,-0.0893893835,-0.084022261,-inf
22,0,182.0,0.03708088110989011,0.0004199502102978044,0.035544815,0.03690971725,0.037187009,0.0373802675,0.037724024,inf
23,0,192.0,-0.029712712895833337,0.0003713579672916608,-0.03025754,-0.029948892249999998,-0.029786434,-0.029567308,-0.027195789,-inf
24,0,193.0,-0.02999713925906736,7.045110754611465e-05,-0.030223441,-0.030041647,-0.030000235,-0.029953029,-0.029774937,-inf
25,0,226.0,0.02710442440707965,0.00040453250323320975,0.025661224,0.02684087925,0.0271832085,0.027384292749999997,0.027994183,inf
26,0,201.0,-0.06581590066666666,0.0008961588215193012,-0.066987412,-0.066510327,-0.066025052,-0.065382473,-0.061931254,-inf
