,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,184.0,3.138705502195652,0.0038401667344614846,3.127798659,3.1361517247500004,3.139039259,3.141258256,3.147874614,4.623516739855068
1,3.5,183.0,3.6524422631420763,0.016920160460691832,3.597408205,3.64721835,3.6581426,3.6634874625,3.676691161,4.355493232630752
2,4.0,213.0,9.019951632938966,1.0123340623822434,4.014026663,9.214667728,9.388014165,9.503831551,9.645462528,125.49879082347415
3,4.0,176.0,4.163667803903409,0.01320157268417117,4.100693981,4.16426077775,4.1674444180000005,4.16988557,4.175044603,4.091695097585224
4,4.0,232.0,4.1487738186982765,0.014910000204950155,4.110367993,4.1387069075,4.147452057500001,4.155718131,4.190627018,3.7193454674569137
5,4.5,186.0,4.192745507139785,0.009407425807615536,4.16532006,4.186803013,4.192972349,4.199263142,4.211165677,-6.827877619115894
6,5.0,185.0,4.2899119330540545,0.04388319126445133,4.195861781,4.256078652,4.291247264,4.324999342,4.397050424,-14.201761338918912
7,5.0,172.0,4.36571074522093,0.048214097048235614,4.228767409,4.33246062025,4.3642987125,4.39583292625,4.568878729,-12.685785095581394
8,5.0,174.0,4.831361957781609,0.10664954839016832,4.572717417,4.75275700575,4.8367580409999995,4.902030025,5.109484479,-3.372760844367821
9,5.5,207.0,5.065405713352658,0.046592831355959485,4.939790005,5.037942486,5.065082648,5.0923804985,5.199026066,-7.901714302678946
10,6.0,186.0,5.691535107639785,0.2580249868151212,5.099480146,5.533280404,5.675746725,5.850457813,6.608535343,-5.1410815393369145
11,6.0,206.0,5.208544094873787,0.02492941118264362,5.139835435,5.192753688,5.2091669895,5.22645069975,5.261029208,-13.190931752103552
12,6.0,193.0,6.047048644160622,0.29621256245238875,5.289426389,5.841504847,6.048188131,6.234357234,6.861048918,0.7841440693436988
13,6.5,194.0,6.743710432567011,0.41237960839504256,5.541383755,6.508639748,6.746892503,7.029567568,7.890699893,3.749391270261704
14,7.0,198.0,5.905708262176767,0.06355126614190554,5.719298393,5.8695334695,5.9130243435,5.9511829285,6.048533963,-15.632739111760468
15,7.0,215.0,5.784866825358139,0.011305283855108544,5.739855612,5.7791409995,5.788776322,5.7931572185,5.798890293,-17.359045352026584
16,7.0,239.0,6.15337533713389,0.11661522944191473,5.800074732,6.078086064,6.157665518,6.2464175765,6.3398739,-12.094638040944426
17,7.0,249.0,6.374552957594378,0.11878074698314896,6.008917835,6.288295544,6.365704741,6.45832552,6.718855946,-8.93495774865175
18,7.0,196.0,6.27393742440306,0.024679567996286112,6.164428096,6.2565231807499995,6.274733346,6.291525893749999,6.324004203,-10.37232250852771
19,7.5,198.0,8.219449743661615,0.35023846335095565,6.654248362,8.110725528,8.309084527500001,8.44506179675,8.638046352,9.592663248821532
20,8.0,206.0,7.207566901820388,0.16461847367464938,6.689138699,7.1213431172499995,7.226392174000001,7.33858678625,7.450154216,-9.905413727245149
21,8.0,172.0,7.222260458976743,0.14286774948024714,6.700272825,7.12563573225,7.245032033,7.35899240925,7.393296382,-9.721744262790711
22,8.0,182.0,7.284249445604396,0.08035759798046864,6.979487011,7.2496912487500005,7.3111856855,7.342182107999999,7.368753494,-8.94688192994505
23,8.0,192.0,7.815898569161459,0.09043104718053817,7.216443513,7.77866033575,7.8488025,7.8783206015000005,7.896725218,-2.3012678854817614
24,8.0,193.0,7.364712251554404,0.009392356396053653,7.322117355,7.361475631,7.367984922,7.370720147,7.376274265,-7.941096855569951
25,8.5,226.0,8.107147738570797,0.11501062291067471,7.7086974,8.03820110675,8.132012259,8.192827177749999,8.319338159,-4.621791310931802
26,9.0,201.0,8.470984395477611,0.11036204715405927,8.049531212,8.406545017,8.497935391,8.558901926,8.596702432,-5.877951161359876
