,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,193.0,3.1338303744507776,0.0038349537426849403,3.125587194,3.13194801,3.133081587,3.134167477,3.14231618,4.4610124816925865
1,3.5,197.0,3.6408777361319795,0.00289547422125189,3.633793899,3.638582409,3.64090794,3.643313961,3.646860379,4.025078175199415
2,4.0,219.0,4.084383669721461,0.0027633941367050567,4.075520377,4.0827271655,4.084584273,4.0862915735000005,4.090132109,2.109591743036532
3,4.0,219.0,4.1517382863972605,0.0023206694887133333,4.144789794,4.1503393840000005,4.151844117,4.153153314,4.159167504,3.7934571599315126
4,4.0,186.0,4.176360046252688,0.001135314160933473,4.173550299,4.175504097,4.1763333065,4.177151511250001,4.179730375,4.409001156317194
5,4.5,195.0,4.708953976635898,0.0013204008647471279,4.705775163,4.7079877215,4.708843818,4.709954291500001,4.711978164,4.643421703019948
6,5.0,209.0,5.153918767430622,0.0025774575080650198,5.147570019,5.152316087,5.153743893,5.155338161,5.1724703,3.078375348612443
7,5.0,203.0,5.2081996869507385,0.0030349704806324693,5.200132429,5.206441917499999,5.208289419,5.2102029084999995,5.216027668,4.163993739014771
8,5.0,194.0,5.216615974716495,0.004644217075928105,5.2024094,5.21516731,5.217933208,5.21978819975,5.224805228,4.3323194943299015
9,5.5,228.0,5.764770379473685,0.006682201675511672,5.745931071,5.760254102499999,5.764304008,5.769067472000001,5.785940428,4.8140068995215435
10,6.0,210.0,6.213140505157142,0.006582849593135752,6.19892468,6.20837347375,6.212675293,6.21714694425,6.230501898,3.5523417526190335
11,6.0,209.0,6.294876272196171,0.014338909326821237,6.254852432,6.286940236,6.295048244,6.305690338,6.324395262,4.914604536602848
12,6.0,198.0,6.28460530011111,0.011902156341779447,6.264217817,6.27456390725,6.2808451495,6.2971022127500005,6.307068063,4.743421668518502
13,6.5,206.0,6.794621377849514,0.004825472600735172,6.784012188,6.79104835525,6.7942316385,6.797440323,6.808127448,4.532636582300211
14,7.0,207.0,7.214145710024155,0.007241040247382206,7.174032312,7.2114322054999995,7.21520779,7.218286676,7.231739162,3.059224428916504
15,7.0,241.0,7.215356132692946,0.008949317113239525,7.186820107,7.210877862,7.217075597,7.221089801,7.234792989,3.076516181327804
16,7.0,201.0,7.287326389069651,0.008593274639943117,7.275412498,7.281858433,7.284648266,7.288397747,7.309855538,4.10466270099502
17,7.0,193.0,7.308896949554404,0.0055274934262995595,7.292382467,7.305441849,7.309014262,7.311757227,7.324159234,4.412813565062912
18,7.0,178.0,7.311089053275281,0.008911155467677772,7.294652166,7.3048803805,7.309200453500001,7.3146644755,7.336969893,4.444129332504015
19,7.5,209.0,7.8684208545071765,0.020854712507071455,7.829225982,7.850490251,7.868595542,7.885081095,7.926454449,4.912278060095687
20,8.0,209.0,8.184238857827753,0.021140051636330287,8.143840201,8.167844586,8.177850627,8.206728828,8.225485425,2.3029857228469064
21,8.0,223.0,8.234808157295964,0.009919978642067107,8.206126289,8.228221509,8.234785779,8.24219747,8.260740839,2.935101966199549
22,8.0,194.0,8.357463793582474,0.010047620781862792,8.313513741,8.353812329,8.357970930499999,8.363868136,8.391067954,4.46829741978092
23,8.0,132.0,8.386215204287879,0.10113033618986289,8.343660161,8.366900653,8.374638899499999,8.38091002975,9.301936122,4.827690053598488
24,8.0,227.0,8.418983059493392,0.02005189911607076,8.360567621,8.4050517695,8.418998275,8.433728915,8.463207639,5.237288243667404
25,8.5,210.0,9.011347434057143,0.005896387486202947,8.993794567,9.0072925895,9.0115493595,9.0156881875,9.027188244,6.015852165378152
26,9.0,142.0,9.422069595049296,0.028710258437259124,9.209012004,9.41884576075,9.425712041499999,9.431754173,9.457120951,4.689662167214395
27,9.0,145.0,9.403202214517243,0.014681941075282196,9.324873939,9.395575545,9.40381228,9.412966285,9.434779291,4.480024605747149
28,9.0,214.0,9.447232294495327,0.014110299700800674,9.391198236,9.440597256,9.448267435999998,9.45622686275,9.484535678,4.969247716614747
29,9.0,213.0,9.487367349934273,0.009386667464896551,9.461786949,9.481054215,9.487587209,9.493727546,9.512333242,5.415192777047473
30,9.0,174.0,9.511275709488507,0.023538816809604787,9.472725432,9.493164788,9.5037666435,9.5323834325,9.572233984,5.680841216538961
