__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688060526.883113,1688060526.852706194,0.999853372,-0.002080652,0.008019120,-0.014986656,4.891357938,3.685684420,8.376133627
1688060526.950762,1688060526.919575453,0.999875920,-0.000787919,0.005933849,-0.014570985,4.885848422,3.681662530,8.366554249
1688060526.983422,1688060526.952778578,0.999877322,-0.001578268,0.006331841,-0.014239309,4.890977243,3.685468043,8.375597443
1688060527.084088,1688060527.052379847,0.999880455,-0.000478324,0.006922446,-0.013817611,4.891016688,3.685453876,8.375424268
1688060527.157221,1688060527.118774176,0.999886232,-0.001518797,0.005926210,-0.013787568,4.888720024,3.683976980,8.371737978
1688060527.183300,1688060527.151969433,0.999856801,-0.001564052,0.007626978,-0.015025330,4.895901239,3.689112655,8.383803045
1688060527.218179,1688060527.185163260,0.999859297,-0.003444769,0.007961699,-0.014357234,4.902189265,3.693871904,8.394661265
1688060527.252499,1688060527.218355894,0.999883213,-0.000532260,0.005697059,-0.014171105,4.887942366,3.683182022,8.370311546
1688060527.282932,1688060527.251547098,0.999867709,-0.001165658,0.006949080,-0.014660026,4.889464661,3.684342398,8.372881433
1688060527.315732,1688060527.284737110,0.999862819,-0.000514069,0.006948169,-0.015026677,4.888646820,3.683635389,8.371435021
1688060527.348953,1688060527.317925692,0.999884948,-0.002018138,0.006988489,-0.013310892,4.890518942,3.685145684,8.374619094
1688060527.384242,1688060527.351113081,0.999774323,0.005030747,0.011242871,-0.017308740,4.893328141,3.687940571,8.379915709
1688060527.418982,1688060527.384299040,0.999871926,-0.001040636,0.006350867,-0.014653133,4.890560814,3.685184870,8.374658705
1688060527.518064,1688060527.483849287,0.999866768,-0.000197393,0.007641150,-0.014422869,4.892303863,3.686325636,8.377658330
1688060527.550987,1688060527.517030001,0.999881975,0.000190705,0.005362264,-0.014396055,4.878065678,3.675654949,8.353260834
1688060527.649339,1688060527.616564512,0.999874156,-0.000543876,0.005721230,-0.014786582,4.884862099,3.680758308,8.364992462
1688060527.682939,1688060527.649739981,0.999875448,-0.001488841,0.006842701,-0.014143894,4.894386128,3.688020833,8.381308991
1688060527.752757,1688060527.716087103,0.999873162,-0.000890205,0.006517762,-0.014504663,4.886188470,3.681885475,8.367351851
1688060527.785807,1688060527.749258757,0.999890425,0.001569158,0.003467487,-0.014305688,4.877919008,3.675597659,8.353123670
1688060527.850656,1688060527.815598249,0.999862490,-0.001540807,0.007096620,-0.014908545,4.891346107,3.685708568,8.376121904
1688060527.884486,1688060527.848765612,0.999870196,-0.002225297,0.007352032,-0.014162874,4.893389077,3.687297495,8.379548686
1688060527.950010,1688060527.915143967,0.999879604,-0.001948240,0.005288468,-0.014457340,4.887373243,3.682860506,8.369403063
1688060527.982925,1688060527.948348761,0.999874868,-0.000336195,0.006971997,-0.014195971,4.890096269,3.684786518,8.373978997
1688060528.049402,1688060528.014754772,0.999880049,-0.001124448,0.006008124,-0.014231134,4.888244977,3.683290995,8.370733216
1688060528.151210,1688060528.114353895,0.999850869,-0.001704238,0.007353862,-0.015532438,4.892953266,3.686847120,8.378698198
1688060528.184731,1688060528.147551060,0.999876212,-0.000301199,0.006158983,-0.014475413,4.887225666,3.682601938,8.368934116
1688060528.252170,1688060528.213941336,0.999829134,0.001107055,0.008118497,-0.016570095,4.876962398,3.675176690,8.352023932
1688060528.284184,1688060528.247134447,0.999862706,-0.001417598,0.007406512,-0.014754752,4.888968031,3.683937352,8.371933002
1688060528.318996,1688060528.280326366,0.999860249,-0.001422386,0.007523617,-0.014861200,4.893742955,3.687541107,8.380094506
1688060528.353689,1688060528.313517094,0.999859545,-0.001433900,0.007755849,-0.014787868,4.894380930,3.688015731,8.381248684
1688060528.383121,1688060528.346706390,0.999882268,0.000482479,0.005910163,-0.014152323,4.884576383,3.680551003,8.364418336
1688060528.426020,1688060528.379894257,0.999857999,-0.002641617,0.007431009,-0.014892392,4.896811117,3.689959305,8.385528690
1688060528.452692,1688060528.413081169,0.999856521,-0.001599465,0.007163462,-0.015266424,4.893926038,3.687684050,8.380520490
1688060528.551675,1688060528.512633562,0.999869135,-0.000176962,0.006318341,-0.014891624,4.888927085,3.683846485,8.371924702
1688060528.650135,1688060528.612174034,0.999871298,-0.000548231,0.006004776,-0.014867083,4.886144533,3.681826573,8.367167018
1688060528.716928,1688060528.678528070,0.999862965,-0.000293633,0.007012962,-0.014992759,4.888815373,3.683844320,8.371783748
1688060528.751195,1688060528.711703062,0.999859805,-0.001055436,0.007553084,-0.014906599,4.893963604,3.687738280,8.380645074
1688060528.784775,1688060528.744876623,0.999880842,-0.001069578,0.006271533,-0.014065077,4.884950974,3.680991807,8.365082787
1688060528.817376,1688060528.778049231,0.999866962,-0.001383448,0.006562651,-0.014868627,4.891829335,3.686078692,8.376903883
1688060528.883476,1688060528.844390154,0.999855801,-0.000949404,0.007917131,-0.014993138,4.890472760,3.684934934,8.374334755
1688060528.917706,1688060528.877564192,0.999872453,-0.000915843,0.007293170,-0.014179143,4.895832057,3.689053711,8.383876709
1688060528.983451,1688060528.944544792,0.999868951,-0.000895721,0.007160239,-0.014491678,4.892382704,3.686472984,8.377709137
1688060529.019314,1688060528.978137016,0.999864660,-0.002534167,0.007021509,-0.014660760,4.894288590,3.687958496,8.381163642
1688060529.083235,1688060529.045325041,0.999847570,-0.001333847,0.008594396,-0.015139144,4.896334899,3.689442967,8.384538416
1688060529.179988,1688060529.112517595,0.999848454,0.002115594,0.007346051,-0.015640629,4.879352021,3.676945871,8.356057010
1688060529.207928,1688060529.146115541,0.999877499,-0.001250276,0.005987375,-0.014407438,4.888192942,3.683334064,8.370777604
1688060529.286413,1688060529.246916294,0.999806807,0.002389604,0.010703764,-0.016311561,4.911142255,3.700965911,8.409795252
1688060529.318774,1688060529.280518770,0.999867795,-0.001895855,0.006542795,-0.014764457,4.894014652,3.687716109,8.380763549
1688060529.418648,1688060529.381333351,0.999859015,-0.000571113,0.007633090,-0.014945256,4.889447545,3.684285236,8.372629225
1688060529.451205,1688060529.414940119,0.999857000,-0.003292137,0.008800195,-0.014060483,4.903352396,3.694750765,8.396731837
1688060529.516745,1688060529.482157946,0.999823912,0.002479467,0.008596130,-0.016495576,4.872053064,3.671480933,8.343660161
1688060529.551626,1688060529.515768290,0.999877752,-0.001983581,0.007052195,-0.013813475,4.891549278,3.686019427,8.376470659
1688060529.618402,1688060529.582992792,0.999883893,0.000040296,0.004740449,-0.014481924,4.881983502,3.678745275,8.360135569
1688060529.685227,1688060529.650221586,0.999888727,-0.001078665,0.005440686,-0.013848088,4.883981810,3.680230381,8.363429849
1688060529.751240,1688060529.717455387,0.999890636,-0.000695927,0.005516340,-0.013704112,4.882961344,3.679424358,8.361733515
1688060529.785383,1688060529.751073837,0.999863270,-0.000759328,0.005697489,-0.015504970,4.884524191,3.680636863,8.364277413
1688060529.849808,1688060529.818314314,0.999875019,-0.000301561,0.006220637,-0.014531305,4.887882452,3.683134928,8.370228035
1688060529.885540,1688060529.851936102,0.999853688,-0.002267804,0.008676976,-0.014566049,4.899817791,3.692049703,8.390377945
1688060529.919443,1688060529.885559082,0.999868090,-0.001191690,0.007292577,-0.014463804,4.891712091,3.685989820,8.376731364
1688060529.986418,1688060529.952347040,0.999861835,-0.002589639,0.008528301,-0.014031111,4.900459371,3.692361669,8.391633940
1688060530.019596,1688060529.985514402,0.841913455,-0.313041732,0.437378316,-0.043437510,5.295615776,3.990314238,9.069516155
1688060530.051451,1688060530.018680096,0.999875148,-0.001178237,0.007315613,-0.013956402,4.894251144,3.687889560,8.381080093
1688060530.087073,1688060530.051844120,0.999864570,-0.000378840,0.007419440,-0.014685031,4.891559280,3.685794304,8.376345121
1688060530.218758,1688060530.184484720,0.999864531,-0.001600515,0.008288861,-0.014129844,4.893562272,3.687374131,8.379842033
1688060530.252784,1688060530.217640638,0.999864676,-0.001104051,0.007238129,-0.014731594,4.891712432,3.685992458,8.376731042
1688060530.287122,1688060530.250794888,0.999849082,-0.001179672,0.008703989,-0.014988740,4.895600030,3.688871745,8.383405887
1688060530.319240,1688060530.283947706,0.999861673,-0.000678205,0.007851027,-0.014647089,4.891283677,3.685705061,8.376073019
1688060530.352310,1688060530.317098856,0.999866803,-0.000983817,0.007432190,-0.014497306,4.889849423,3.684567741,8.373571124
1688060530.384993,1688060530.350248337,0.999870072,-0.001322880,0.006759530,-0.014573861,4.889193062,3.683853656,8.372119137
1688060530.453319,1688060530.416542530,0.999836263,0.003626774,0.007226762,-0.016188475,4.894819034,3.688957831,8.381963559
1688060530.553656,1688060530.515971661,0.999834052,0.001882412,0.008109485,-0.016203750,4.879149025,3.676694054,8.355744670
1688060530.587154,1688060530.549111605,0.999869105,-0.002904875,0.007303496,-0.014141891,4.897021973,3.689906712,8.385848705
1688060530.620729,1688060530.582249641,0.999878027,0.000214775,0.006043893,-0.014399888,4.884576001,3.680529632,8.364255010
1688060530.685271,1688060530.648521185,0.999869831,-0.000765187,0.007263950,-0.014386492,4.890501314,3.684982165,8.374529344
1688060530.721535,1688060530.681654453,0.999854535,-0.002322856,0.007936378,-0.014917328,4.895070813,3.688431340,8.382414247
1688060530.752051,1688060530.714786053,0.999860730,-0.000846625,0.008026613,-0.014607437,4.893377615,3.687138307,8.379459405
1688060530.783750,1688060530.747916222,0.999890517,-0.001194513,0.005361149,-0.013739933,4.887992780,3.683239088,8.370420228
1688060530.819959,1688060530.781044722,0.999877692,-0.000506909,0.006691399,-0.014126927,4.885001809,3.681017577,8.365222568
1688060530.853553,1688060530.814171314,0.999847826,-0.001755717,0.008547925,-0.015105439,4.899020828,3.691524035,8.389230117
1688060530.886550,1688060530.847296715,0.999872303,-0.001071768,0.007543693,-0.014047117,4.892465444,3.686442248,8.377869719
1688060530.986043,1688060530.946719170,0.999859585,-0.000875093,0.007480143,-0.014969696,4.887630959,3.682832792,8.369540503
1688060531.018779,1688060530.979888439,0.999868458,-0.001698264,0.007014517,-0.014525146,4.893633402,3.687520244,8.380044749
1688060531.052524,1688060531.013055801,0.999879753,-0.000941733,0.006455469,-0.014068398,4.889363038,3.684384394,8.372855549
1688060531.085940,1688060531.046221733,0.999805908,-0.001838473,0.010332089,-0.016673761,4.894396444,3.688280153,8.381912233
1688060531.119802,1688060531.079385996,0.999880685,-0.000916818,0.005429580,-0.014432398,4.885018513,3.680946115,8.365250203
1688060531.184499,1688060531.145709753,0.999857558,-0.002522666,0.008659774,-0.014265610,4.899375736,3.691767696,8.389850618
1688060531.252361,1688060531.212027073,0.999876655,-0.000161153,0.005253549,-0.014800280,4.885516080,3.681290789,8.365929543
1688060531.285774,1688060531.245183468,0.999872228,-0.003211548,0.007283320,-0.013862454,4.893122236,3.687181397,8.379111884
1688060531.319508,1688060531.278337955,0.999840848,-0.001538212,0.009317578,-0.015135876,4.897103793,3.690096214,8.385990772
1688060531.351937,1688060531.311491013,0.999867894,-0.001380429,0.006382695,-0.014884545,4.890063034,3.684899107,8.373931570
1688060531.385545,1688060531.344642401,0.999878257,0.000121509,0.005918398,-0.014437070,4.883423659,3.679774802,8.362470506
1688060531.418027,1688060531.377791882,0.999860408,-0.002132348,0.007791982,-0.014625390,4.896188868,3.689396906,8.384423390
1688060531.453167,1688060531.410940170,0.999848670,-0.001959568,0.009051564,-0.014726365,4.899866560,3.691980374,8.390660907
1688060531.518185,1688060531.477231741,0.999868055,-0.000502947,0.006684178,-0.014796683,4.888496045,3.683568209,8.371186827
1688060531.552159,1688060531.510375023,0.999872253,-0.002243097,0.007170727,-0.014107717,4.893442264,3.687370108,8.379695014
1688060531.586309,1688060531.543516636,0.999866070,-0.002835390,0.007679698,-0.014171265,4.894970448,3.688393401,8.382211346
1688060531.619608,1688060531.576656818,0.999853178,-0.002629459,0.009144554,-0.014250827,4.902387823,3.694024584,8.395022289
1688060531.652792,1688060531.609795332,0.999873301,-0.001288823,0.007618799,-0.013916682,4.890464843,3.685034158,8.374447306
1688060531.687170,1688060531.642932177,0.999884928,0.000176010,0.005911390,-0.013969817,4.886127203,3.681699470,8.367165475
1688060531.720207,1688060531.676067352,0.999864363,-0.000524764,0.006989440,-0.014903985,4.888834191,3.683634053,8.371554117
1688060531.753830,1688060531.709201097,0.999849330,-0.002433291,0.008233346,-0.015086674,4.895155664,3.688457127,8.382479542
1688060531.786832,1688060531.742332935,0.999865127,-0.002178454,0.007084670,-0.014655707,4.893368527,3.687179399,8.379490642
1688060531.819605,1688060531.775463581,0.999890927,-0.002546173,0.005286751,-0.013553643,4.888801681,3.683944588,8.371779663
1688060531.852130,1688060531.808592319,0.999873647,-0.001240466,0.007785678,-0.013803429,4.893806641,3.687422254,8.380255917
1688060531.886571,1688060531.841719389,0.999869342,-0.001021748,0.007059409,-0.014505818,4.890983229,3.685467365,8.375403210
1688060531.920438,1688060531.874845266,0.999869404,-0.002675383,0.007280871,-0.014177694,4.897977079,3.690659314,8.387398030
1688060531.984610,1688060531.941332817,0.999883672,-0.000314125,0.005688719,-0.014148577,4.883795970,3.680049345,8.363043631
1688060532.053821,1688060532.008244514,0.999886343,0.002202954,0.004953613,-0.014068052,4.876870788,3.674652631,8.351150881
1688060532.120633,1688060532.075354338,0.992622392,-0.086734091,0.078841651,-0.031015784,5.431709617,4.092777468,9.301936122
1688060532.153239,1688060532.108910322,0.999884159,-0.000141565,0.005315628,-0.014261593,4.879148765,3.676506326,8.355106453
1688060532.186509,1688060532.142467260,0.999857053,-0.000115048,0.007544089,-0.015131009,4.887020061,3.682299693,8.368531533
1688060532.321850,1688060532.276702881,0.999880283,0.000535838,0.006013808,-0.014246627,4.882954840,3.679277581,8.361785956
1688060532.352556,1688060532.310263634,0.999865239,-0.002744549,0.007535162,-0.014324517,4.897791507,3.690559648,8.387239094
1688060532.388216,1688060532.343825340,0.999895702,-0.000719398,0.004559244,-0.013685059,4.879880414,3.677240478,8.356507328
1688060532.419519,1688060532.377388000,0.999867654,-0.000379053,0.006546357,-0.014888802,4.886011829,3.681778109,8.367016121
1688060532.454051,1688060532.410951376,0.999879649,-0.000123342,0.006239389,-0.014203629,4.888401421,3.683461204,8.370973095
1688060532.490430,1688060532.444515467,0.999871942,-0.000475899,0.005393613,-0.015059260,4.880885974,3.677791206,8.358051640
1688060532.553778,1688060532.511646271,0.999865272,0.000361019,0.006123018,-0.015225514,4.884255333,3.680320968,8.363827527
1688060532.686626,1688060532.612348318,0.999872704,0.000569662,0.006069104,-0.014745072,4.882465839,3.678898302,8.360656890
1688060532.713788,1688060532.645917177,0.999875625,-0.002057006,0.006407895,-0.014263322,4.893529617,3.687309604,8.379813811
1688060532.741887,1688060532.679486990,0.999872549,0.000090297,0.005987562,-0.014799558,4.884877153,3.680780986,8.365039354
1688060532.771295,1688060532.713057518,0.999883246,-0.001660055,0.006127507,-0.013899354,4.891753740,3.685920868,8.376742821
1688060532.797999,1688060532.746629238,0.999869447,-0.001155969,0.007499506,-0.014265703,4.894306121,3.687880096,8.381110769
1688060532.918535,1688060532.880922794,0.999859641,-0.001634318,0.008016934,-0.014620396,4.894176807,3.687695689,8.380853342
1688060532.956208,1688060532.914498329,0.999859674,-0.003424112,0.008332345,-0.014123717,4.897803806,3.690676421,8.387347504
1688060532.989137,1688060532.948074579,0.999868160,-0.001433500,0.007380464,-0.014392239,4.890955178,3.685438032,8.375407240
1688060533.022329,1688060532.981646299,0.999877542,-0.000333825,0.005873687,-0.014501387,4.882306706,3.678781486,8.360514521
1688060533.055652,1688060533.014780045,0.999863496,-0.003917081,0.007308354,-0.014291017,4.898857266,3.691371453,8.389075581
1688060533.090073,1688060533.047911644,0.999877077,0.001424541,0.005324024,-0.014678418,4.876322421,3.674401932,8.350433523
1688060533.120698,1688060533.081041574,0.999882945,0.000139661,0.006172476,-0.013999164,4.884836690,3.680741697,8.364824184
1688060533.154907,1688060533.114169121,0.999897890,-0.000786649,0.004983606,-0.013369909,4.884213303,3.680441746,8.364067262
1688060533.254564,1688060533.213541031,0.999871271,-0.000140793,0.005992054,-0.014883420,4.884620974,3.680453571,8.364469656
