,X,count,mean,std,min,25%,50%,75%,max,trueRelErr,Y,count,mean,std,min,25%,50%,75%,max,trueRelErr,Z,count,mean,std,min,25%,50%,75%,max,trueRelErr
0,0,193.0,0.21614606963212435,6.436439714401915e-05,0.215700214,0.216122508,0.21615106,0.216176389,0.21627372,inf,0,193.0,0.2569550559740933,7.483613507325561e-05,0.256702547,0.256915667,0.256947094,0.257003061,0.257157477,inf,3.0,193.0,6.2280777238549225,0.0022961158243189777,6.211848594,6.227243942,6.228149611,6.229237088,6.231901061,1.0760259079516408
1,0,210.0,0.23721326195238093,0.00011485252421623058,0.236387623,0.237147262,0.23720524399999998,0.237283515,0.237532539,inf,0,210.0,0.30493013919523804,0.0001984397677978873,0.304506695,0.304792184,0.3048900895,0.30502500025,0.305625618,inf,3.5,210.0,7.278548412723809,0.005352463719794174,7.262779807,7.27447046175,7.277897287,7.28165920375,7.295962377,1.079585260778231
2,0,196.0,0.2647495094081633,4.8242990094396494e-05,0.264579827,0.26472072449999995,0.264753314,0.2647812295,0.264886069,inf,0,196.0,0.35227802278571424,7.482589108320136e-05,0.352051866,0.3522323215,0.35226932450000004,0.35232764625,0.352474231,inf,4.0,196.0,8.353123773336733,0.0015373808184014407,8.349308864,8.35217293875,8.353031463499999,8.35417876825,8.357718,1.0882809433341833
3,1,181.0,2.261992251116022,0.0008611392224982914,2.259717455,2.261592707,2.261972912,2.262377162,2.269635131,1.261992251116022,0,181.0,0.3324320515580111,0.0003758626874089096,0.332128155,0.332280845,0.332351828,0.332425693,0.334009055,inf,4.0,181.0,8.097469003889502,0.003000500093945379,8.088822943,8.096013442,8.097402325,8.098936045,8.122385976,1.0243672509723756
4,-1,234.0,-1.897092653444444,0.0023684715408988067,-1.908793113,-1.8986220075,-1.89751754,-1.89493784325,-1.893050263,0.8970926534444441,0,234.0,0.36618871955982907,0.0005362344643950492,0.365432075,0.36571847274999997,0.3662644585,0.36650085175,0.368505878,inf,4.0,234.0,8.365086920970086,0.010812257988402345,8.346989344,8.3549297055,8.3673219165,8.372548283999999,8.414804435,1.0912717302425214
5,0,223.0,0.2601464111479821,6.571836277426778e-05,0.259967927,0.26010352950000004,0.260145168,0.26019104,0.260321567,inf,0,223.0,0.397952035632287,0.00012013487894741786,0.397664484,0.3978631075,0.397949485,0.398045443,0.398331388,inf,4.5,223.0,9.401943213439463,0.002372943982543277,9.394991962,9.4003083745,9.401943808,9.403768217,9.4084119,1.0893207140976584
6,0,266.0,0.2816898522368421,0.00019759315904293302,0.280975797,0.281564828,0.2816778055,0.281805152,0.282257807,inf,0,266.0,0.4447926323308271,0.000308828032400551,0.443751248,0.44471031825,0.44486536600000004,0.44498439125,0.445326761,inf,5.0,266.0,10.466130779522556,0.010102587450544874,10.431654877,10.464685165,10.4686993025,10.471716293,10.478894374,1.0932261559045113
7,1,214.0,2.3387362003551404,0.002812237319780854,2.32689998,2.33769463,2.338792094,2.33989492275,2.366694361,1.3387362003551404,0,214.0,0.42445493089719627,0.0007358811241688814,0.421866769,0.424068756,0.4245667915,0.42488016100000003,0.430203929,inf,5.0,214.0,10.232801729873831,0.012317526801989756,10.180315064,10.228083076499999,10.2331600845,10.2376292925,10.355341032,1.046560345974766
8,-1,206.0,-1.8638572735922332,0.000708966672133938,-1.865681854,-1.8643296705,-1.8638896434999999,-1.86338548175,-1.86176562,0.8638572735922332,0,206.0,0.45048287711165047,0.0002023469856864025,0.449919431,0.45035090875,0.450479367,0.45063788125,0.451006345,inf,5.0,206.0,10.424477578296116,0.003971514302532427,10.413039039,10.421776243250001,10.424630625999999,10.4270278125,10.434657906,1.0848955156592233
9,0,201.0,0.29955328239801,0.00012652761655951127,0.299200394,0.29946318,0.299557955,0.299640278,0.299916407,inf,0,201.0,0.4885225209950249,0.00022775775780103387,0.487383636,0.488388288,0.488530968,0.48867305,0.489177064,inf,5.5,201.0,11.512185131502488,0.006428658064205551,11.473198149,11.509359774,11.512662727,11.515780206,11.525500492,1.0931245693640887
