,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,195.0,3.1151293533076925,0.0025717042412589926,3.10630454,3.1134332535,3.11519338,3.1169045165,3.122282181,3.8376451102564157
1,3.5,5.0,4.1377570154,0.7939831452795346,3.125198792,3.825054935,3.851176372,4.850306968,5.03704801,18.221629011428572
2,4.0,206.0,6.530565047067962,1.040964746793321,3.125970245,6.179007299249999,6.9712056475,7.226087414749999,7.302115991,63.26412617669905
3,4.0,203.0,3.630203761182266,0.01040904458261258,3.597800488,3.6229666235,3.630499228,3.6378025075,3.651737217,-9.244905970443352
4,4.0,186.0,4.123812044806452,0.036238548690536276,4.001483053,4.1036493284999995,4.127502026,4.14767202975,4.192594003,3.095301120161298
5,4.5,198.0,4.062375409454545,0.00510984590169294,4.047367086,4.05896301675,4.0622238710000005,4.0664335195,4.072769551,-9.724990901010106
6,5.0,194.0,4.142869488917525,0.032623644769197435,4.077770415,4.106462904000001,4.161314334,4.167832987000001,4.178290568,-17.142610221649495
7,5.0,195.0,4.645009996,0.017567256945765053,4.601152626,4.632976016000001,4.647091869,4.658254397,4.681222379,-7.099800080000004
8,5.0,216.0,5.589500210449074,0.2889202655944735,4.953123201,5.3972589655,5.5646108045,5.781607833000001,6.423493429,11.790004208981486
9,5.5,213.0,5.684460179502347,0.12233595911734016,5.011121438,5.693405548,5.73114261,5.747840935,5.761342048,3.3538214454972155
10,6.0,193.0,5.136382496668394,0.027670000252803764,5.027922336,5.121176735,5.141736553,5.154816431,5.182223361,-14.39362505552677
11,6.0,190.0,5.136406539136842,0.02885433411928039,5.051803585,5.1177316825000005,5.1355483615,5.15192051025,5.211048515,-14.393224347719302
12,6.0,186.0,5.21105906322043,0.01797915210039079,5.135037818,5.202619121,5.214265146000001,5.22493893625,5.234415686,-13.149015612992828
13,6.5,254.0,6.273602376106299,0.13582389223135385,5.315481696,6.230848781,6.3242450885,6.36168868975,6.382903401,-3.483040367595395
14,7.0,12.0,5.742492318833334,0.38958792205252957,5.33486814,5.4226690694999995,5.5859891785,6.069541491,6.551171703,-17.964395445238083
15,7.0,200.0,7.1294192775,0.7466101633780077,5.42129232,6.5491504855,7.2078249205,7.78853935375,8.363251166,1.8488468214285754
16,7.0,217.0,6.439903895986175,0.29518906103038667,5.53360641,6.222542386,6.409709383,6.642176685,7.328796154,-8.00137291448321
17,7.0,214.0,6.143487110728971,0.05848886608130301,5.937556004,6.110010566750001,6.1459158115,6.18399890375,6.27241379,-12.235898418157554
18,7.0,186.0,6.158270396231183,0.03340243846479871,5.978297553,6.1452031965,6.1641318565,6.1822106859999995,6.200617538,-12.024708625268817
19,7.5,188.0,6.647703618175533,0.1853425248194304,6.000260711,6.5400921080000005,6.654334779,6.76773293225,7.083642578,-11.363951757659562
20,8.0,199.0,7.05348200142211,0.3335049841035036,6.094422561,6.814083354499999,7.237849489,7.3182647795,7.346411866,-11.831474982223622
21,8.0,191.0,6.668970132209425,0.1350136733456025,6.107756658,6.620742718000001,6.721268806,6.7652416925,6.80088512,-16.637873347382193
22,8.0,171.0,8.001986388847955,0.43749305096345287,6.244916434,7.8675221615,8.19254705,8.287340217499999,8.364128247,0.024829860599440146
23,8.0,192.0,7.502269799317708,0.4056734911537343,6.581692697,7.1773583035,7.452386693,7.9172846647499995,8.118026484,-6.221627508528648
24,8.0,196.0,6.991984853913265,0.12146901622340849,6.634765825,6.92423406125,6.9874630315,7.078581559,7.309000393,-12.600189326084188
25,8.5,38.0,7.01884180013158,0.12731904770328895,6.737966214,6.91353468425,7.0546057885,7.13479082375,7.173093709,-17.425390586687296
26,9.0,205.0,8.173585934975609,0.11970651832534479,7.574249917,8.110362296,8.209549159,8.266546244,8.309780587,-9.18237850027101
27,9.0,208.0,8.845733640903847,0.3922204818653118,7.66647696,8.578863378000001,8.926071283999999,9.1585096865,9.46261232,-1.7140706566239277
28,9.0,206.0,8.598443924364076,0.20800270595061154,7.798051539,8.416387868249998,8.64553819,8.76481448825,8.943891134,-4.461734173732483
29,9.0,230.0,9.346124037386957,0.20677975026297632,8.502127737,9.253054202000001,9.3903122895,9.51036229,9.576738986,3.8458226376328577
30,9.0,210.0,9.142305013885716,0.1381656414723666,8.526081137,9.0952362915,9.1860119165,9.246886222,9.274537928,1.5811668209524004
