,Y,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,199.0,-0.05444976452261304,0.0012383743521107117,-0.054769851,-0.054769851,-0.054769851,-0.054769851,-0.048983052,-inf
1,0,211.0,-0.07201105399999998,2.7821581833968454e-17,-0.072011054,-0.072011054,-0.072011054,-0.072011054,-0.072011054,-inf
2,0,213.0,-0.036053209112676045,0.00015667630267742004,-0.037183069,-0.036031585,-0.036031585,-0.036031585,-0.036031585,-inf
3,0,217.0,-0.05212575557603686,0.004097936839696115,-0.055174675,-0.055174675,-0.055174675,-0.047088891,-0.038297866,-inf
4,0,194.0,-0.07989287564948455,0.004443963324857581,-0.087623313,-0.077351362,-0.077351362,-0.077351362,-0.077351362,-inf
5,0,211.0,-0.01915044477251185,0.0010335413620214749,-0.025768721,-0.018989807,-0.018989807,-0.018989807,-0.018989807,-inf
6,0,209.0,-0.031728172971291865,0.004412682190874771,-0.051137973,-0.036231436,-0.02782586,-0.02782586,-0.027496016,-inf
7,0,215.0,-0.08775019246046512,0.01371529064613305,-0.102315918,-0.102315918,-0.078656122,-0.070597872,-0.070597872,-inf
8,0,168.0,-0.011174800999999998,1.7399095069070244e-18,-0.011174801,-0.011174801,-0.011174801,-0.011174801,-0.011174801,-inf
