,X,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,198.0,0.08681332175757574,0.00032484544855747863,0.084200956,0.086853512,0.086853512,0.086853512,0.086853512,inf
1,0,195.0,0.08062774699999999,1.3913509328445417e-17,0.080627747,0.080627747,0.080627747,0.080627747,0.080627747,inf
2,0,186.0,0.09575281999999997,2.783048958620066e-17,0.09575282,0.09575282,0.09575282,0.09575282,0.09575282,inf
3,1,204.0,1.0442160525735293,0.006777371071537024,1.04231143,1.04231143,1.04231143,1.04231143,1.068214297,4.421605257352934
4,-1,205.0,-0.8646597344292682,0.004907173305496907,-0.888951421,-0.86367327,-0.86367327,-0.86367327,-0.86367327,-13.534026557073176
5,0,235.0,0.09966647883404256,0.006020904362665142,0.094064504,0.095093176,0.095093176,0.107378826,0.10904371,inf
6,0,182.0,0.09473425992307694,0.008176243175588986,0.090685405,0.090685405,0.090685405,0.090685405,0.111154616,inf
7,1,190.0,0.7475343956210528,0.08055891217003594,0.699107885,0.699107885,0.699107885,0.881844938,0.881844938,-25.246560437894715
8,-1,210.0,-0.9040724040000002,2.2257517821415113e-16,-0.904072404,-0.904072404,-0.904072404,-0.904072404,-0.904072404,-9.592759599999978
9,0,195.0,0.11474888800000003,4.174052798533625e-17,0.114748888,0.114748888,0.114748888,0.114748888,0.114748888,inf
10,0,192.0,0.10516576584375,0.016199174962586774,0.064502336,0.087929592,0.117644265,0.117644265,0.117644265,inf
11,1,207.0,0.7877673609323672,0.022313895267824936,0.786216438,0.786216438,0.786216438,0.786216438,1.107257485,-21.22326390676328
12,-1,105.0,-0.9015572084857143,0.04406161689334034,-0.909077644,-0.909077644,-0.909077644,-0.909077644,-0.645862401,-9.84427915142857
13,0,30.0,0.08484495400000001,1.4115032135209254e-17,0.084844954,0.084844954,0.084844954,0.084844954,0.084844954,inf
14,0,217.0,0.0815896876313364,0.006845176597982208,0.080540873,0.080540873,0.080540873,0.080540873,0.126059428,inf
15,1,30.0,1.09069252,0.0,1.09069252,1.09069252,1.09069252,1.09069252,1.09069252,9.069251999999995
16,2,239.0,2.0975317959999993,8.900423848556806e-16,2.097531796,2.097531796,2.097531796,2.097531796,2.097531796,4.876589799999964
17,-1,217.0,-1.0600040005299538,0.14685978880021797,-1.123159885,-1.123159885,-1.123159885,-1.123159885,-0.72007674,6.0004000529953805
18,-2,8.0,-1.6930604580000002,0.30232335950138245,-1.856333733,-1.856333733,-1.856333733,-1.6930604580000002,-1.203240633,-15.346977099999993
19,0,28.0,0.135971025,0.0,0.135971025,0.135971025,0.135971025,0.135971025,0.135971025,inf
