__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688060196.568457,1688060196.508765697,0.999892974,-0.013668978,-0.001237984,-0.005066350,5.882745801,3.471128308,7.896466119
1688060196.601279,1688060196.542111397,0.999948516,-0.007928166,-0.004218685,-0.004723651,5.840394162,3.446485026,7.839820423
1688060196.634132,1688060196.575458050,0.999902950,-0.013039092,-0.001191436,-0.004759576,5.879808845,3.469510979,7.892575615
1688060196.668052,1688060196.608805656,0.999946857,-0.008517976,-0.004158498,-0.004053977,5.848377140,3.451037178,7.850490251
1688060196.700552,1688060196.642153740,0.999943265,-0.009744156,-0.002567600,-0.003453400,5.864326783,3.460322006,7.871944627
1688060196.733695,1688060196.675503016,0.999948985,-0.008145907,-0.002898005,-0.005222449,5.848981763,3.451323533,7.851385812
1688060196.766353,1688060196.708852768,0.999957429,-0.007646659,-0.003440838,-0.003850870,5.848373904,3.451005467,7.850554455
1688060196.801721,1688060196.742203474,0.999907606,-0.012632003,-0.002172582,-0.004526861,5.867878382,3.462386263,7.876562157
1688060196.832824,1688060196.775554657,0.999961158,-0.007522952,-0.003786105,-0.002598605,5.847327321,3.450417597,7.849210381
1688060196.867776,1688060196.808907032,0.999969786,-0.004703624,-0.000418867,-0.006174758,5.870873423,3.464844816,7.880861597
1688060196.901878,1688060196.842260122,0.999886382,-0.014494925,-0.001710118,-0.003767654,5.879901711,3.469380703,7.892554611
1688060196.933717,1688060196.875613928,0.999937747,-0.010425506,-0.001107226,-0.003819147,5.865752758,3.461148329,7.873788334
1688060196.967712,1688060196.908968449,0.999941570,-0.008708471,-0.003797509,-0.005157383,5.848907122,3.451364001,7.851181181
1688060197.000941,1688060196.942323923,0.999914384,-0.012127983,-0.002396204,-0.004288823,5.867663045,3.462359829,7.876234492
1688060197.033841,1688060196.975680113,0.999911432,-0.012639026,-0.001905285,-0.003708538,5.872583724,3.465165449,7.882835926
1688060197.068097,1688060197.009037018,0.999938506,-0.008530690,-0.001285814,-0.006968443,5.886476756,3.473870978,7.901318106
1688060197.101327,1688060197.042395115,0.999943122,-0.009186859,-0.003829169,-0.003832876,5.852304164,3.453335042,7.855817971
