,Y,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,206.0,-0.9147043699563108,0.0008005207933895277,-0.917506199,-0.91521261725,-0.9146191285,-0.91415377825,-0.912783495,-inf
1,0,231.0,-0.9705398166536796,0.0014474575859900578,-0.97377547,-0.9716120134999999,-0.970622296,-0.969539892,-0.966609471,-inf
2,0,217.0,-1.0640819933502303,0.0024319367554321058,-1.084833139,-1.064395725,-1.063662621,-1.062869982,-1.060288799,-inf
3,0,212.0,-1.241716246660377,0.002528456168447267,-1.268180308,-1.24250449125,-1.241380259,-1.2404050737499999,-1.237956896,-inf
4,0,78.0,-1.2935285003846153,0.013064994683261796,-1.352797929,-1.2962004365,-1.2938981395,-1.2850635807500002,-1.279314941,-inf
5,0,170.0,-1.2966619345235295,0.023336409966672828,-1.348641863,-1.31167227225,-1.2840291045,-1.2820351025,-1.277681384,-inf
6,0,127.0,-1.3914476607716535,0.009128014941864345,-1.458709177,-1.3919468165,-1.390168032,-1.3882483665,-1.38193641,-inf
7,0,200.0,-1.221518183455,0.0046678236218642595,-1.234754215,-1.22520281525,-1.2209982535,-1.2174833075,-1.212695892,-inf
8,0,139.0,-1.2775051152086332,0.010038754976255409,-1.326152483,-1.277047815,-1.275414379,-1.273968788,-1.26543282,-inf
9,0,55.0,-1.2005867726,0.01665754637001184,-1.250377273,-1.2032915045,-1.195612833,-1.1906453225,-1.184047477,-inf
10,0,185.0,-1.5007251380378377,0.02081781176494549,-1.553442965,-1.497389006,-1.490971947,-1.48848125,-1.472644954,-inf
11,0,83.0,-1.6840918732048191,0.026213770760946335,-1.722510603,-1.7048647305,-1.692678343,-1.6650303295,-1.60779456,-inf
12,0,138.0,-1.520217873594203,0.012517584541276189,-1.579093312,-1.5219751587500001,-1.5181568730000001,-1.51412945775,-1.500975495,-inf
