,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,212.0,5.413883966415095,1.0860696218534311,2.79209649,4.5251413115,6.1626688304999995,6.2818217372500005,6.32636186,80.46279888050316
1,3.5,217.0,7.67072548462212,1.1474278859550595,2.985094416,7.402725137,8.09422272,8.474116127,8.760838437,119.16358527491772
2,4.0,206.0,3.118720863529126,0.005703637118416919,3.103333323,3.11468212175,3.1184856114999997,3.12226871775,3.131316247,-22.031978411771846
3,4.0,191.0,5.9129958366911,1.1426120570364307,3.251879216,5.969436271999999,6.463102285,6.618301754,6.795153574,47.8248959172775
4,4.0,194.0,3.6454031878144333,0.002583414760934585,3.635953541,3.644250053,3.6459041,3.64727491625,3.651323779,-8.864920304639167
5,4.5,205.0,7.523789994248781,1.1951275691439933,3.694329622,7.59374423,8.015340906,8.212996074,8.300565724,67.19533320552846
6,5.0,215.0,4.062544525623256,0.03561933033908068,3.980256979,4.0380328015,4.059800759,4.0789363325,4.1623581,-18.74910948753488
7,5.0,200.0,4.122053424285,0.02209055153731062,4.011058089,4.11421434,4.1256217075,4.136443922,4.152921624,-17.558931514299996
8,5.0,202.0,4.139727275034653,0.00979398521462293,4.090628326,4.1343893985,4.143318637,4.14665893025,4.153079039,-17.20545449930693
9,5.5,244.0,5.477954731709016,0.9914034359113288,4.096831639,4.63816788625,5.0793729585000005,6.352807452,8.332116193,-0.4008230598360802
10,6.0,212.0,6.042169189636793,0.5816840972905366,4.162348214,5.6364494815,6.083523383999999,6.477343728499999,7.32764234,0.7028198272798807
11,6.0,179.0,4.681987247050278,0.013452967884172683,4.626313769,4.6753908325,4.68467876,4.692346252,4.702440691,-21.966879215828694
12,6.0,202.0,6.056057631019802,0.937412142457048,4.756737934,5.452028448249999,5.756170996,6.23813764725,8.364982556,0.9342938503300294
13,6.5,250.0,6.195428200795999,0.8970588983645735,4.767988684,5.43502287025,5.927384714,7.133182298,8.134806103,-4.68571998775386
14,7.0,250.0,5.560425770152,0.6114532791011602,4.780482767,5.1621635045000005,5.3380541675,5.62598815275,7.33265765,-20.56534614068571
15,7.0,231.0,5.048090505943723,0.05108839503520252,4.854743227,5.018037372,5.052007555,5.082825792,5.166357255,-27.884421343661103
16,7.0,207.0,5.180617492816426,0.07002624488888487,4.876003499,5.1780844859999995,5.208443798,5.217452369,5.228450722,-25.991178674051064
17,7.0,238.0,5.592683058340336,0.2172424267260129,5.112495205,5.325387794499999,5.727970482,5.73694601875,5.748907457,-20.1045277379952
18,7.0,201.0,5.196788443253731,0.010691189403066903,5.144388534,5.1921249,5.199986338,5.204659643,5.21027884,-25.76016509637527
19,7.5,221.0,6.243274812040723,0.06255431605714852,5.903199595,6.212822018,6.27330227,6.287762655,6.301660098,-16.756335839457027
20,8.0,198.0,6.205479141944445,0.035135022808005345,5.996399123,6.18804311425,6.208829631,6.232518901500001,6.258373265,-22.431510725694437
21,8.0,214.0,7.225993241065421,0.08266263000228027,6.415821377,7.19713812575,7.2536641565,7.27765089575,7.295027953,-9.67508448668224
22,8.0,218.0,8.086998508490826,0.294629280228082,6.539100274,7.9732051385,8.178281017500002,8.30242900375,8.369958393,1.0874813561353225
23,8.0,201.0,7.12289037199005,0.1145610098477702,6.647866947,7.10208517,7.165814677,7.194996413,7.239588628,-10.963870350124372
24,8.0,218.0,7.142138430536697,0.16485680823863977,6.68467399,7.031594625,7.180560765,7.270018653,7.361002171,-10.723269618291287
25,8.5,220.0,7.236583329263636,0.09365927937263263,6.723905549,7.1908731335,7.259788284,7.30786984825,7.353092814,-14.863725538074867
26,9.0,283.0,8.365402358243816,0.05848734440767421,8.100229432,8.3384685805,8.385797991,8.4075650065,8.438764597,-7.05108490840204
