,X,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0.0,180.0,0.0050709987,0.00028530611088540945,0.004860507,0.0049295797499999995,0.004960526,0.00499739325,0.00582731,inf
1,0.0,203.0,-0.020471732142857146,0.00010860548264301875,-0.020678193,-0.0205811085,-0.020439627,-0.020382841,-0.020238098,-inf
2,0.0,184.0,-2.106801687228261,0.0009920319421610894,-2.108725035,-2.10743959675,-2.1068027745,-2.10637424175,-2.100373306,-inf
3,1.0,183.0,-0.04319200612568306,0.0001310748887557427,-0.043600136,-0.04320971,-0.043179388,-0.043154529999999997,-0.042776627,-104.3192006125683
4,-1.0,178.0,2.054539383016854,0.0023509265926573214,2.052101827,2.05285467325,2.0532648315,2.0576551092499997,2.059054894,-305.4539383016854
5,0.0,198.0,-0.0337053541969697,0.00022865967456006585,-0.034219676,-0.0337762005,-0.033598006,-0.03354819825,-0.033427584,-inf
6,0.0,177.0,-0.06258144638418078,5.4893877154835295e-05,-0.062773522,-0.0626161,-0.062577896,-0.062548178,-0.062453328,-inf
7,1.0,209.0,-2.138751351755981,0.0008222849768646291,-2.141029577,-2.139221523,-2.138852309,-2.138331869,-2.135497218,-313.8751351755981
8,-1.0,209.0,2.0128497838660286,0.0008180981251137869,2.010849451,2.012322898,2.012778673,2.01335305,2.015044704,-301.28497838660286
9,0.0,191.0,-0.06811835567539266,7.67227768906329e-05,-0.068772158,-0.068164283,-0.068110222,-0.0680730655,-0.067968796,-inf
10,0.0,197.0,-0.08018640524365482,0.0002854984805220509,-0.080740798,-0.080493165,-0.080067834,-0.079942313,-0.079777759,-inf
11,1.0,197.0,1.9971165175939083,0.003011918335806399,1.989184983,1.997333387,1.998187382,1.998897503,2.000893194,99.71165175939083
12,-1.0,195.0,-2.196725622605128,0.001990390253915063,-2.201000926,-2.19805693,-2.19655584,-2.195366178,-2.192319311,119.67256226051282
13,0.0,196.0,-0.08702989860714284,9.089199810834231e-05,-0.087277037,-0.08706972125,-0.08702713349999999,-0.0869940595,-0.086117605,-inf
14,0.0,204.0,3.9923738518186282,0.006450559944763271,3.974863415,3.987572337,3.990227687,3.99823162675,4.00693194,inf
15,1.0,104.0,-4.235646424451923,0.008346592652119794,-4.268913973,-4.23812782025,-4.2336388105,-4.2306229455,-4.219514198,-523.5646424451924
16,2.0,178.0,-2.173448132932584,0.0012167848080556903,-2.176758833,-2.17427685325,-2.1734286044999998,-2.172587511,-2.170242015,-208.6724066466292
17,-1.0,194.0,-0.12019364337628866,0.00012671221835270223,-0.120529246,-0.12028086125000001,-0.120200942,-0.1200993665,-0.119917277,-87.98063566237113
18,-2.0,196.0,1.966430137255102,0.00253364300216107,1.956271715,1.965215975,1.9668852045,1.96804297575,1.970713417,-198.32150686275511
19,0.0,204.0,-0.12174491130392155,0.00030564270268671764,-0.12229365,-0.1219890415,-0.1218176745,-0.12151796150000001,-0.120950045,-inf
20,0.0,175.0,-2.2135179379314285,0.010263482938410413,-2.225637017,-2.2230817839999997,-2.221101258,-2.2025939625,-2.200313258,-inf
21,1.0,143.0,-4.2398747123007,0.012473316713043003,-4.343105471,-4.2405702275,-4.238657508,-4.236043584,-4.223586104,-523.98747123007
22,2.0,199.0,4.000778576964824,0.006016880243195565,3.987640517,3.995601327,4.002705191,4.004700097500001,4.012018543,100.0389288482412
23,-1.0,197.0,1.9365915278121828,0.004400416442792196,1.909907887,1.936315384,1.936997488,1.937692692,1.958530997,-293.65915278121827
24,-2.0,209.0,-0.14059399197607655,0.00016167446713200538,-0.141088685,-0.140665726,-0.140561098,-0.140491081,-0.140296556,-92.97030040119617
25,0.0,207.0,-0.1771115978115942,0.000699781178035377,-0.178546889,-0.1780132635,-0.176804284,-0.176613654,-0.176188135,-inf
26,,55.0,-0.14968423134545455,0.0001743723262661037,-0.150079369,-0.1497822215,-0.14967917,-0.14954632350000002,-0.149316282,
